NOME,E-MAIL,TELEFONE,ENDEREÇO,DATA DE NASCIMENTO
Alexandre Xavier,Alexandre_Xavier51@estudante.ifms.edu.br,(89) 0429-8257,9356 Martins Marginal Sobrado 88,Tue Jan 20 1981
Sara Souza,Sara.Souza46@estudante.ifms.edu.br,(87) 0894-9000,74144 Martins Travessa Sobrado 92,Thu Apr 06 1972
Fabiano Reis,Fabiano.Reis8@estudante.ifms.edu.br,(66) 9424-3135,42174 Barros Marginal Sobrado 57,Mon Dec 08 2003
Benjamin Carvalho,Benjamin.Carvalho48@estudante.ifms.edu.br,(95) 4545-3556,105 Silva Rua Casa 2,Thu Dec 22 2005
Sara Braga,Sara.Braga@estudante.ifms.edu.br,(10) 7188-7739,7631 Yago Rodovia Sobrado 77,Thu Dec 04 2008
Larissa Oliveira,Larissa_Oliveira13@estudante.ifms.edu.br,(80) 24299-1046,56146 Barros Rua Apto. 875,Mon Mar 24 1975
Nataniel Souza,Nataniel_Souza88@estudante.ifms.edu.br,(02) 02833-9112,9265 Barros Rua Apto. 131,Wed Jan 07 2009
Sara Xavier,Sara.Xavier44@estudante.ifms.edu.br,(26) 52814-1599,533 Laura Marginal Sobrado 54,Fri Dec 14 2001
Morgana Barros,Morgana.Barros@estudante.ifms.edu.br,(07) 3802-2968,89506 Suélen Avenida Lote 30,Sat May 16 2009
Carla Souza,Carla_Souza@estudante.ifms.edu.br,(44) 3490-0721,259 Souza Marginal Sobrado 61,Wed Oct 26 1988
Frederico Souza,Frederico.Souza31@estudante.ifms.edu.br,(39) 25033-0879,52792 Oliveira Rua Sobrado 85,Mon Sep 22 1980
Maria Júlia Costa,MariaJulia_Costa@estudante.ifms.edu.br,(04) 72578-9637,3115 Rafaela Marginal Sobrado 56,Tue Dec 28 1971
Isabelly Oliveira,Isabelly_Oliveira57@estudante.ifms.edu.br,(24) 03453-2014,40837 Melo Marginal Apto. 516,Fri Aug 29 1980
Roberta Melo,Roberta_Melo27@estudante.ifms.edu.br,(78) 6743-9720,6927 João Lucas Avenida Quadra 38,Thu Jun 29 1972
Elísio Carvalho,Elisio_Carvalho14@estudante.ifms.edu.br,(03) 5687-4456,1646 Heloísa Rua Lote 51,Tue Feb 06 2001
Félix Batista,Felix.Batista@estudante.ifms.edu.br,(26) 6465-8150,1779 Moraes Alameda Quadra 15,Fri May 26 1978
Isabelly Xavier,Isabelly_Xavier@estudante.ifms.edu.br,(42) 05791-3040,334 Batista Alameda Casa 3,Fri May 30 2003
